id,nome,arquivo,categoria,fonte,x,y,largura,altura,fundo
s01_pergaminho_largo,pergaminho_largo,assets_individuais/faixas_selos_dados/pergaminho_largo.png,faixas_selos_dados,01-1000614716.png,18,5,173,120,transparente
s01_pergaminho_curto,pergaminho_curto,assets_individuais/faixas_selos_dados/pergaminho_curto.png,faixas_selos_dados,01-1000614716.png,206,5,147,120,transparente
s01_caveira_ossos,caveira_ossos,assets_individuais/faixas_selos_dados/caveira_ossos.png,faixas_selos_dados,01-1000614716.png,371,5,70,120,transparente
s01_tocha,tocha,assets_individuais/faixas_selos_dados/tocha.png,faixas_selos_dados,01-1000614716.png,462,5,60,120,transparente
s01_lanterna,lanterna,assets_individuais/faixas_selos_dados/lanterna.png,faixas_selos_dados,01-1000614716.png,548,5,59,120,transparente
s01_vela,vela,assets_individuais/faixas_selos_dados/vela.png,faixas_selos_dados,01-1000614716.png,634,5,82,120,transparente
s01_placa_ornamental,placa_ornamental,assets_individuais/faixas_selos_dados/placa_ornamental.png,faixas_selos_dados,01-1000614716.png,723,5,115,120,transparente
s01_selo_cera,selo_cera,assets_individuais/faixas_selos_dados/selo_cera.png,faixas_selos_dados,01-1000614716.png,856,5,94,120,transparente
s01_dado_d4,dado_d4,assets_individuais/faixas_selos_dados/dado_d4.png,faixas_selos_dados,01-1000614716.png,971,5,81,120,transparente
s01_dado_d6,dado_d6,assets_individuais/faixas_selos_dados/dado_d6.png,faixas_selos_dados,01-1000614716.png,1060,5,77,120,transparente
s01_dado_d8,dado_d8,assets_individuais/faixas_selos_dados/dado_d8.png,faixas_selos_dados,01-1000614716.png,1149,5,76,120,transparente
s01_dado_d10,dado_d10,assets_individuais/faixas_selos_dados/dado_d10.png,faixas_selos_dados,01-1000614716.png,1234,5,81,120,transparente
s01_dado_d12,dado_d12,assets_individuais/faixas_selos_dados/dado_d12.png,faixas_selos_dados,01-1000614716.png,1328,5,78,120,transparente
s01_dado_d20,dado_d20,assets_individuais/faixas_selos_dados/dado_d20.png,faixas_selos_dados,01-1000614716.png,1418,5,80,120,transparente
s01_bolsa_moedas,bolsa_moedas,assets_individuais/tesouros_escudos/bolsa_moedas.png,tesouros_escudos,01-1000614716.png,30,120,85,110,transparente
s01_pilha_moedas,pilha_moedas,assets_individuais/tesouros_escudos/pilha_moedas.png,tesouros_escudos,01-1000614716.png,144,120,118,110,transparente
s01_gema_verde,gema_verde,assets_individuais/tesouros_escudos/gema_verde.png,tesouros_escudos,01-1000614716.png,283,120,66,110,transparente
s01_gema_azul,gema_azul,assets_individuais/tesouros_escudos/gema_azul.png,tesouros_escudos,01-1000614716.png,367,120,75,110,transparente
s01_gema_vermelha,gema_vermelha,assets_individuais/tesouros_escudos/gema_vermelha.png,tesouros_escudos,01-1000614716.png,458,120,57,110,transparente
s01_coroa,coroa,assets_individuais/tesouros_escudos/coroa.png,tesouros_escudos,01-1000614716.png,528,120,103,110,transparente
s01_calice,calice,assets_individuais/tesouros_escudos/calice.png,tesouros_escudos,01-1000614716.png,660,120,60,110,transparente
s01_pingente,pingente,assets_individuais/tesouros_escudos/pingente.png,tesouros_escudos,01-1000614716.png,767,120,48,110,transparente
s01_colar_gema_verde,colar_gema_verde,assets_individuais/tesouros_escudos/colar_gema_verde.png,tesouros_escudos,01-1000614716.png,831,120,111,110,transparente
s01_escudo_liso,escudo_liso,assets_individuais/tesouros_escudos/escudo_liso.png,tesouros_escudos,01-1000614716.png,975,120,79,110,transparente
s01_escudo_diagonal,escudo_diagonal,assets_individuais/tesouros_escudos/escudo_diagonal.png,tesouros_escudos,01-1000614716.png,1069,120,81,110,transparente
s01_escudo_quartelado,escudo_quartelado,assets_individuais/tesouros_escudos/escudo_quartelado.png,tesouros_escudos,01-1000614716.png,1174,120,77,110,transparente
s01_escudo_leao,escudo_leao,assets_individuais/tesouros_escudos/escudo_leao.png,tesouros_escudos,01-1000614716.png,1277,120,78,110,transparente
s01_escudo_redondo,escudo_redondo,assets_individuais/tesouros_escudos/escudo_redondo.png,tesouros_escudos,01-1000614716.png,1389,120,98,110,transparente
s01_espada_longa,espada_longa,assets_individuais/equipamentos/espada_longa.png,equipamentos,01-1000614716.png,25,225,92,130,transparente
s01_espada_curta,espada_curta,assets_individuais/equipamentos/espada_curta.png,equipamentos,01-1000614716.png,135,225,74,130,transparente
s01_machado_batalha,machado_batalha,assets_individuais/equipamentos/machado_batalha.png,equipamentos,01-1000614716.png,221,225,97,130,transparente
s01_martelo_guerra,martelo_guerra,assets_individuais/equipamentos/martelo_guerra.png,equipamentos,01-1000614716.png,324,225,86,130,transparente
s01_arco,arco,assets_individuais/equipamentos/arco.png,equipamentos,01-1000614716.png,427,225,56,130,transparente
